ngiemboon,en,,,,
"Y?sô ma’a twó ngie: Áa y?? tá pi p???n légwá’a lÿ??g, á nue pi tè ne ?zsé ly??’ w??, ?ké tè ne ?zsé f??’ gie*Mí? Nyì? ge lá’ tó w??.","Watch therefore, for ye know neither the day nor the hour wherein the Son of man cometh. # https://www.bible.com/fr/bible/1/MAT.25.KJV #13",,,,
"Á ge lá’ gw?? p?? pá’ nò nyì? g?ie à la c??’? lég?a legi?, ?tó? megà?a fà’ pé, ?nyé nkáb ye mbwó p??b,","Forthe kingdom of heaven isas a man travelling into a far country,whocalled his own servants, and delivered unto them his goods. # https://www.bible.com/fr/bible/1/MAT.25.KJV #14",,,,
"?d??te ye w??w?? p?? ná yé, ?nyé nkáb pàg nkÿo t??a mbwó ndù? mvfò, ?nyé nkáb pàg nkÿo p??a mbwó mb???ntè, ?nyé pàg nkÿo mbwó mb???ntè yétá, ?deen ?ké ?g?a.","And unto one he gave five talents, to another two, and to another one; to every man according to his several ability; and straightway took his journey. # https://www.bible.com/fr/bible/1/MAT.25.KJV #15",,,,
"Ngà?a fà’ g?ie mé la nyé nkáb pàg nkÿo t??a né ye, c??’ ?gwóon ?dwo ?tá? ye, tà ?jÿó ts?? pàg nkÿo t??a.","Then he that had received the five talents went and traded with the same, and madethemother five talents. # https://www.bible.com/fr/bible/1/MAT.25.KJV #16",,,,
"Nyì? g?ie mé la nyé ye pàg nkÿo p??a, gí?e ?jÿó yé ts?? pàg nkÿo p??a.","And likewise he thathad receivedtwo, he also gained other two. # https://www.bible.com/fr/bible/1/MAT.25.KJV #17",,,,
"Tá’, nyì? g?ie mé la nyé pàg nkÿo né yé la, g?a ?tú?o gem ts??? tsetsá’, ?de’e nkáb tá we ts??? wó.","But he that had received one went and digged in the earth, and hid his lord's money. # https://www.bible.com/fr/bible/1/MAT.25.KJV #18",,,,
"Nty? ná’a sag, tá pà megà?a fà’ p??n méntá pi? nzèm, ?tó?o w??b ?z??te pá’ p?? ka c??’ ?gÿo ná nkáb pú’u.","After a long time the lord of those servants cometh, and reckoneth with them. # https://www.bible.com/fr/bible/1/MAT.25.KJV #19",,,,
"Nyì? g?ie à la nyé nkáb pàg nkÿo t??a né yé tó, ?ny?? yé ts?? pàg nkÿo t??a, ?g??n ngie: À Ndè ?? la nyé nkáb pàg nkÿo t??a né mè?, n gÿ? pàg nkÿo t??a zébe m?.","And so he that had received five talents came and brought other five talents, saying, Lord, thou deliveredst unto me five talents: behold, I have gained beside them five talents more. # https://www.bible.com/fr/bible/1/MAT.25.KJV #20",,,,
"Tá we g??n né yé ngie: Áa mbo?, ??? ngà?a fà’ we mbò?o, ?? ka gÿo mmó gie n ka ne ?z?í’te mbwó gù, pá’ ?? ka p???n mû? mémmó mbo?ó la, mè? n ge c??me shúm mbwó gù t?’. Tóo p?g? pú ?kág.","His lord said unto him, Well done,thougood and faithful servant: thou hast been faithful over a few things, I will make thee ruler over many things: enter thou into the joy of thy lord. # https://www.bible.com/fr/bible/1/MAT.25.KJV #21",,,,
"Nyì? g?ie à la nyé nkáb pàg nkÿo p??a né yé lá tó yé, ?g??n ngie: À nde, ?? la nyé nkáb né mè? pàg nkÿo p??a, gyá yets?? pàg nkÿo p??a gie e zebé m?.","He also that had received two talents came and said, Lord, thou deliveredst unto me two talents: behold, I have gained two other talents beside them. # https://www.bible.com/fr/bible/1/MAT.25.KJV #22",,,,
"Tá we g??n né yé ngie: Áa mbo?, ??? ngà?a fà’ we mbò?o, ?? ka gÿo mmó gie n ka ne ?z?í’te mbwó gù, pá’ ?? ka p???n mû? mémmó mbo?ó la, mè? n ge c??me shúm mbwó gù t?’. Tóo p?g? pú ?kág.","His lord said unto him, Well done, good and faithful servant; thou hast been faithful over a few things, I will make thee ruler over many things: enter thou into the joy of thy lord. # https://www.bible.com/fr/bible/1/MAT.25.KJV #23",,,,
"Tá nyì? g?ie à la nyé nkáb pàg nkÿo né yé la tó yé, ?g??n ngie: À nde, n ka ne ?zsé ngie ??? nyì? ?ti? t?’, ?kába mmó j?’ gie ?? ka tè wó ma’, ?bw??’? mmó j?’ gie ?? ka tè wó pye.","Then he which had received the one talent came and said, Lord, I knew thee that thou art an hard man, reaping where thou hast not sown, and gathering where thou hast not strawed: # https://www.bible.com/fr/bible/1/MAT.25.KJV #24",,,,
"N ka ne ?b??g? gú, ?g?a ?de’e mepàg nkáb mú ts??? tsetsá’, é m??n! Nkáb jù y??.","and I was afraid, and went and hid thy talent in the earth: lo,therethou hastthat isthine. # https://www.bible.com/fr/bible/1/MAT.25.KJV #25",,,,
"Tá’, tá we ts??’? mbwó yé ngie: ??? ngà?a fà’ we tepò?, ?gw?? ndó?, ?? ka ne ?zsé ngie mè? n gee ?kába mmó j?’ gie mè? n ka tè wó ma’, ?bw??’? mmó j?’ gie mè? n ka tè wó pye.","His lord answered and said unto him,Thouwicked and slothful servant, thou knewest that I reap where I sowed not, and gather where I have not strawed: # https://www.bible.com/fr/bible/1/MAT.25.KJV #26",,,,
"?? ka ne ?zsé pú’u, àk?? gÿo, ?? tè g?a ?ná nkáb y???n mbwó pàtá? nkáb pá’ mè? n ge gÿo gw? tó k?é, àpì zébe m? w???","thou oughtest therefore to have put my money to the exchangers, andthenat my coming I should have received mine own with usury. # https://www.bible.com/fr/bible/1/MAT.25.KJV #27",,,,
"Pi k?é nkáb m?? pàg nkÿo mbwó yé, ?náa mbwó nyì? g?ie à g?iin pàg ntsá’,","Take therefore the talent from him, and giveitunto him which hath ten talents. # https://www.bible.com/fr/bible/1/MAT.25.KJV #28",,,,
"mélà’mie nyì? l??n ?kag t?? tá ?g?iin mmó, mbà mé ge k?i’i, à g?iin à gy???n, tá nyì? ké tè kag t?? w??, mbà mé ge fó mbwó yé k?é mbàa mej?’ g?ie à g?iin.","For unto every one that hath shall be given, and he shall have abundance: but from him that hath not shall be taken away even that which he hath. # https://www.bible.com/fr/bible/1/MAT.25.KJV #29",,,,
"Pi gwoon ngà?a fà’ we tè ku’u ná ts?? nò w??, ?ma’a yé pí ts??? mwòon nzém. À ?né?e wó ?d?a, ló? we ne ffó",And cast ye the unprofitable servant into outer darkness: there shall be weeping and gnashing of teeth. # https://www.bible.com/fr/bible/1/MAT.25.KJV #30,,,,
"*Mí? Nyì? ge gw?? tà tóo ts??? legú’ we, tà pâ mecÿ??’ pé gw??, à ?né?e ná l?? yé, ?gw?? fù? g?ie ts?? tè yé c?a.","When the Son of man shall come in his glory, and all the holy angels with him, then shall he sit upon the throne of his glory: # https://www.bible.com/fr/bible/1/MAT.25.KJV #31",,,,
"Melá’ ntsèm cú’te mvfò yé, à ty??te p??a, éfag pá’ mby??b mvfó faga*menj??njÿò á nà mvfó nt?? la,","and before him shall be gathered all nations: and he shall separate them one from another, as a shepherd dividethhissheep from the goats: # https://www.bible.com/fr/bible/1/MAT.25.KJV #32",,,,
"é tÿ??g*menj??njÿò ná gw??o pwó yé ye t??, é tÿ??g mvfó nt?? ná gw??o pwó yé ye ky??b?.","and he shall set the sheep on his right hand, but the goats on the left. # https://www.bible.com/fr/bible/1/MAT.25.KJV #33",,,,
"Fù? leen ?ké ?g??n né p??a pie ée nà gw??o pwó yé ye t?? ngie: Pi pie tá w???n k?en ?né? mb??lè ná pi, pi tó ?kúu ts??? lefù? sie e Ssé la lá’ ny?te ?d?g ?z?í’te g?i tà fó lénu?e ngwò?.","Then shall the King say unto them on his right hand, Come, ye blessed of my Father, inherit the kingdom prepared for you from the foundation of the world: # https://www.bible.com/fr/bible/1/MAT.25.KJV #34",,,,
"Á nue, nzyè la ne ?gyá?a w???n, pi náa mmó m pf??, àgág y???n ne shÿó, pi ná ntse n nú, n daa ng?? pie kúe w???n.","for I was an hungred, and ye gave me meat: I was thirsty, and ye gave me drink: I was a stranger, and ye took me in: # https://www.bible.com/fr/bible/1/MAT.25.KJV #35",,,,
"N daa tè nzs? pi ná nzs?, m ma’. N da ne ?gu?, pi tó fó?o w???n. N daa ndá ts??, pi tó ?díe w???n.","naked, and ye clothed me: I was sick, and ye visited me: I was in prison, and ye came unto me. # https://www.bible.com/fr/bible/1/MAT.25.KJV #36",,,,
"P??a áp?? pie p?? la gÿo mmó gie Ssé ne ?kwo?o jú’ pú’u, ?z??te ngie: C??ap??a, nzyè la gyá?a gú sí?e, tà peg gyá gú ?náa mmó ?? pf??? Ágág jú shÿó sí?e, tà peg gyá gú ?náa ntse, ?? núu?","Then shall the righteous answer him, saying, Lord, when saw we thee an hungred, and fedthee? or thirsty, and gavetheedrink? # https://www.bible.com/fr/bible/1/MAT.25.KJV #37",,,,
"?? laa ng?? pá’??n sí?e, tà peg kúe gú? ?? laa tè nzs? sí?e tà peg ná nzs? ?? ma’?","When saw we thee a stranger, and tooktheein? or naked, and clothedthee? # https://www.bible.com/fr/bible/1/MAT.25.KJV #38",,,,
"?? laa sí?e ne ?gu?, ?gw?? ndá ts?? sí?e tà peg tó ?díe gú?","Or when saw we thee sick, or in prison, and came unto thee? # https://www.bible.com/fr/bible/1/MAT.25.KJV #39",,,,
"Àfù? ts??’? mbwó p??b ngie: Mè? shwó?ó g?í, kwà’ nén??, mbàa y?? f??’ w?? gie pi la gÿo m??n menò, ná w?? mû? ményì? g?ie aa f?? w???n m??, mbà pi l???n ?gÿo p?? ná mè?.","And the King shall answer and say unto them, Verily I say unto you, Inasmuch as ye have doneitunto one of the least of these my brethren, ye have doneitunto me. # https://www.bible.com/fr/bible/1/MAT.25.KJV #40",,,,
"É leen ké gí?e g??n mbwó p??a pie ée ná gw??o pwó yé ye ky??b?, é ye: Pi ee megà? ndòon, pi fó lej??? mè? ?g?a tà ng??a sag, ?kúu ts??? mm??g g?ie é té ?dá’a ?byé w??, é g?ie mé la ny?te ?tí Sátà paa mecÿ??’ pé.","Then shall he say also unto them on the left hand, Depart from me, ye cursed, into everlasting fire, prepared for the devil and his angels: # https://www.bible.com/fr/bible/1/MAT.25.KJV #41",,,,
"Á nue nzyè la gyá?a w???n, pi tè náa mmó m pf?? w??, àgág y???n shÿó, pi tè ná ntse mè? n nú w??.","for I was an hungred, and ye gave me no meat: I was thirsty, and ye gave me no drink: # https://www.bible.com/fr/bible/1/MAT.25.KJV #42",,,,
"N daa ng??, pi tè w???n kúe. N daa tè nzs?, pi tè ná nzs? mè? m ma’ w??. N da ne ?gu?, ?gí?e ?gÿo ?gw?? ndá ts??, pi tè w???n líe.","I was a stranger, and ye took me not in: naked, and ye clothed me not: sick, and in prison, and ye visited me not. # https://www.bible.com/fr/bible/1/MAT.25.KJV #43",,,,
"P??b y??b e gí?e ?g??n ngie: C??ap??a, peg la gyá gú sí?e, nzyè ne ?gyá?a gú, ?gyá gú sí?e, àgág jú ne shÿó, ?gyá gú sí?e, ?? gw?? ng??, ?gyá gú sí?e ?? gw?? tè nzs?, ?gyá gú sí?e, ?? ne ?gu?, ?jú’ sí?e ?? gw?? ndá ts??, peg tè gú k?éte?","Then shall they also answer him, saying, Lord, when saw we thee an hungred, or athirst, or a stranger, or naked, or sick, or in prison, and did not minister unto thee? # https://www.bible.com/fr/bible/1/MAT.25.KJV #44",,,,
"Fù? ts??’? mbwó p??b ngie: Mè? shwó?ó g?í, kwà’ nén??, mbàa y?? f??’ w?? gie pi la tè gÿó m??n menò á ná w?? mû? ményì? g?ie aa f?? w???n m??, mbà pi la gí?e tè mmó ná mè? gÿo.","Then shall he answer them, saying, Verily I say unto you, Inasmuch as ye diditnot to one of the least of these, ye diditnot to me. # https://www.bible.com/fr/bible/1/MAT.25.KJV #45",,,,
"P??n p??a leen ?ké ?g?a lê j?’ gie p?? ge lá’a ts?é wó, é gyá p?? ng??’ tèmi. P??a pie é la gÿo mmó gie e Ssé ne ?kwo?o, p?? g?iin le gw?? tèmi",And these shall go away into everlasting punishment: but the righteous into life eternal. # https://www.bible.com/fr/bible/1/MAT.25.KJV #46,,,,
"Y?sô la zí’i nò Ssé mbwó p??a tà ?cÿé j?’, ?g??n mbwó*ngà?a kwò yé ngie:","And it came to pass, when Jesus had finished all these sayings, he said unto his disciples, # https://www.bible.com/fr/bible/1/MAT.26.KJV #1",,,,
"Pi zsé ngie, é c??’? ?zága p?? ly??’ sép??a mé jÿó lín???n*Páskà. Mé ge s?i?e*Mí? Nyì?, mé kime yé ná tÿ? nk?.","Ye know that after two days isthe feast ofthe passover, and the Son of man is betrayed to be crucified. # https://www.bible.com/fr/bible/1/MAT.26.KJV #2",,,,
"Á gw?? p?? ná mely??’ am??,*mentándá pànù?e pw??’ pâ mek?m lá’ cú’te n?’ Kaifa, á gw??*nù?e pw??’ we lÿò,","Then assembled together the chief priests, and the scribes, and the elders of the people, unto the palace of the high priest, who was called Caiaphas, # https://www.bible.com/fr/bible/1/MAT.26.KJV #3",,,,
"?cú’te pú’u, ?záb ngie p?? ge shúte gwoon Y?sô, é z?é yé.","and consulted that they might take Jesus by subtilty, and killhim. # https://www.bible.com/fr/bible/1/MAT.26.KJV #4",,,,
"Tá tà mé ké ?gwoon yé ly?’?? lín???n, ?b??g? lá’ létág j?’.","But they said, Not on the feastday, lest there be an uproar among the people. # https://www.bible.com/fr/bible/1/MAT.26.KJV #5",,,,
"Y?sô gÿo ?gw?? Mbetáni, á ndá Símo,*ngà? nkà’ p?b,","Now when Jesus was in Bethany, in the house of Simon the leper, # https://www.bible.com/fr/bible/1/MAT.26.KJV #6",,,,
"?né?e ssé ne ?pf??? mmó, àts?? manzw? kú yé ndá, ?gw?? tóo lej??? Y?sô ?g?iin ts?? t? nz?i? ndo?, ts?? lèménd???n gie á cÿ??g nkáb t?’ gw?? tsolo, á pf?te twó Y?sô.","there came unto him a woman having an alabaster box of very precious ointment, and poured it on his head, as he sat at meat. # https://www.bible.com/fr/bible/1/MAT.26.KJV #7",,,,
"*Ngà?a kwò Y?sô gyá, á pÿ??g? w??b t?’, p?? z???te ngie: À s?en ?c??te y??n làménd???n mélà’a k???","But when his disciples sawit, they had indignation, saying, To what purposeisthis waste? # https://www.bible.com/fr/bible/1/MAT.26.KJV #8",,,,
"Á ké ?gw?? mé s?i?, ?k?é máa nkáb, ?náa mbwó mepó?.","For this ointment might have been sold for much, and given to the poor. # https://www.bible.com/fr/bible/1/MAT.26.KJV #9",,,,
"Y?sô zsé nkwa?á w??b, ?g??n mbwó p??b ngie: Pi z???te mélà’a k??? À gÿ? p?? nò mbò?o ná mè?.","When Jesus understoodit, he said unto them,Why trouble ye the woman? for she hath wrought a good work upon me. # https://www.bible.com/fr/bible/1/MAT.26.KJV #10",,,,
"Pi ge ne gyá mepó? p?? f??’ ntsèm, tá ?g?a ná mè?, mbà pege tè gw?? p?? f??’ ntsèm w??.",For ye have the poor always with you, but me ye have not always. # https://www.bible.com/fr/bible/1/MAT.26.KJV #11,,,
"Manzw? w??n l?g? y??n làménd???n ?z??’? mbùm y???n, ?d?g? ?t??? njÿó ?z??’? w???n tá mé taa ?né?e w???n lesyè.","For in that she hath poured this ointment on my body, she diditfor my burial. # https://www.bible.com/fr/bible/1/MAT.26.KJV #12",,,,
"Mè? shwó?ó g?í, kwà’ nén??, nz?? nz?? w?? gie mé ge lá’ ts?i nk? mbò?o w??n wó ts??? njÿó w???, mé ge lá’ gí?e ne g??n mmó gie manzw? w?? gÿ?, é l?g? kímte yé.","Verily I say unto you, Wheresoever this gospel shall be preached in the whole world,thereshall also this, that this woman hath done, be told for a memorial of her. # https://www.bible.com/fr/bible/1/MAT.26.KJV #13",,,,
"Àts?? tà’ nyì? ná p??a nts??b p??a nê legém, lezí? sé gw?? J?idas Iskariod, a g?a ?gyá*metándá pànù?e pw??’,","Then one of the twelve, called Judas Iscariot, went unto the chief priests, # https://www.bible.com/fr/bible/1/MAT.26.KJV #14",,,,
"?g??n né p??b ngie: N d??n ?ny?? g?i pá’ pi ge gÿo tá gwoon Y?sô, pi náa k?? né mè?? P?? ná nkáb pàg móm ntá né yé.","and saidunto them, What will ye give me, and I will deliver him unto you? And they covenanted with him for thirty pieces of silver. # https://www.bible.com/fr/bible/1/MAT.26.KJV #15",,,,
"Á k?é, ?zye léfa’ shÿó pá’ à ge s?i?e Y?sô mbwó p??b.",And from that time he sought opportunity to betray him. # https://www.bible.com/fr/bible/1/MAT.26.KJV #16,,,,
"Á gÿo ?gw?? ndù? mvfò ly?’?? lá’ ná ngàb gie mé l??n ?pf???*mbelég té mvò?, ?d?g? ?jÿó lín???n*Páskà,*ngà?a kwò Y?sô tó ?z??te yé ngie: ?? kw?? ngie peg g?a nz??, ?cwo?te j?’ gie ?? ge jÿó*Páskà wó?","Now the firstdayof thefeast ofunleavened bread the disciples came to Jesus, saying unto him, Where wilt thou that we prepare for thee to eat the passover? # https://www.bible.com/fr/bible/1/MAT.26.KJV #17",,,,
"Y?sô g??n né p??b ngie: Pi g?a tÿ?so?, ?gyá mákyè, ?g??n né ye ngie: Tsítsà ts?? ngie peg shwó?ó ?? ngie e ye njÿó ee pá’??n ne ?ku’u, a ne ?kwo?o ngie pâ*ngà?a kwò yé jÿó y??b lín???n*Páskà p?? mb??a gù.","And he said,Go into the city to such a man, and say unto him, The Master saith, My time is at hand; I will keep the passover at thy house with my disciples. # https://www.bible.com/fr/bible/1/MAT.26.KJV #18",,,,
"*Ngà?a kwò yé gÿo p?? nd?? nd?? pá’ à ts??, ?cwo?te shúm léjÿó*Páskà j?’ó.",And the disciples did as Jesus had appointed them, and they made ready the passover. # https://www.bible.com/fr/bible/1/MAT.26.KJV #19,,,
"Á gÿo ?gw?? ncwò nzém, Y?sô pâ*ngà?a kwò yé nts??b p??a nê legém ?né?e ssé lépf??? mmó.","Now when the even was come, he sat down with the twelve. # https://www.bible.com/fr/bible/1/MAT.26.KJV #20",,,,
"P?? ne ?pf??? mmó, Y?sô g??n ngie: Mè? shwó?ó g?í, kwà’ nén??, àts?? tà’ nyì? tsets??? pi gee s?i? mè?.","And as they did eat, he said,Verily I say unto you, that one of you shall betray me. # https://www.bible.com/fr/bible/1/MAT.26.KJV #21",,,,
"P?? jú’, ?bú ?mÿ?g, àw??w?? ná p??b w?? z??te ngie: À Ndè, ?gw?? á gw?? w???n?","And they were exceeding sorrowful, and began every one of them to say unto him, Lord, is it I? # https://www.bible.com/fr/bible/1/MAT.26.KJV #22",,,,
"Y?sô ts??’? mbwó p??b ngie: Nyì? g?ie pwó yég yé fóo lépumte ts??? ngw???, aa nyì? g?ie à ge s?i?e w???n.","And he answered and said,He that dippethhishand with me in the dish, the same shall betray me. # https://www.bible.com/fr/bible/1/MAT.26.KJV #23",,,,
"*Mí? Nyì? ge kwé, à gw?? pá’ mé la g??n ts??? ?wà’ne Ssé, tá’, àndù té po? aa nyì? g?ie à s?i?é yé. Mbò?o laa pá’ mé l??n tè zyé yé w??.",The Son of man goeth as it is written of him: but woe unto that man by whom the Son of man is betrayed! it had been good for that man if he had not been born. # https://www.bible.com/fr/bible/1/MAT.26.KJV #24,,,,
"J?idas, ngà? mená? w??, z??te yé Y?sô ngie: Tsítsà ?? g??n w???n ka? Y?sô ts??’? mbwó yé ngie: Gù z? k? ?g??n!","Then Judas, which betrayed him, answered and said, Master, is it I? He said unto him,Thou hast said. # https://www.bible.com/fr/bible/1/MAT.26.KJV #25",,,,
"Pâ p?? ne njÿó shúm léjÿó, Y?sô pí mbelég, ?ná nd?g mbwó Ssé, ?bw??’te ?gwaa náa mbwó*ngà?a kwò yé, ?g??n ngie: Pi k?? ?pf??, y??n ee mbùm nn?? y???n,","And as they were eating, Jesus took bread, and blessedit, and brakeit, and gaveitto the disciples, and said,Take, eat; this is my body. # https://www.bible.com/fr/bible/1/MAT.26.KJV #26",,,,
